DexEntry,DexNo,Region,Gen,Pokemon,Type 1,Type 2
62,41,Kanto,I,Zubat,Poison,Flying
64,42,Kanto,I,Golbat,Poison,Flying
66,43,Kanto,I,Oddish,Grass,Poison
67,44,Kanto,I,Gloom,Grass,Poison
69,45,Kanto,I,Vileplume,Grass,Poison
71,46,Kanto,I,Paras,Bug,Grass
72,47,Kanto,I,Parasect,Bug,Grass
73,48,Kanto,I,Venonat,Bug,Poison
74,49,Kanto,I,Venomoth,Bug,Poison
75,50,Kanto,I,Diglett,Ground,-
76,50,Kanto,I,Alolan Diglett,Ground,Steel
77,51,Kanto,I,Dugtrio,Ground,-
78,51,Kanto,I,Alolan Dugtrio,Ground,Steel
79,52,Kanto,I,Meowth,Normal,-
80,52,Kanto,I,Alolan Meowth,Dark,-
81,52,Kanto,I,Galarian Meowth,Steel,-
82,53,Kanto,I,Persian,Normal,-
83,53,Kanto,I,Alolan Persian,Dark,-
84,54,Kanto,I,Psyduck,Water,-
85,55,Kanto,I,Golduck,Water,-
86,56,Kanto,I,Mankey,Fighting,-
87,57,Kanto,I,Primeape,Fighting,-
88,58,Kanto,I,Growlithe,Fire,-
89,58,Kanto,I,Hisuian Growlithe,Fire,Rock
90,59,Kanto,I,Arcanine,Fire,-
91,59,Kanto,I,Hisuian Arcanine,Fire,Rock
92,60,Kanto,I,Poliwag,Water,-
93,61,Kanto,I,Poliwhirl,Water,-
94,62,Kanto,I,Poliwrath,Water,Fighting
95,63,Kanto,I,Abra,Psychic,-
96,64,Kanto,I,Kadabra,Psychic,-
98,65,Kanto,I,Alakazam,Psychic,-
100,66,Kanto,I,Machop,Fighting,-
101,67,Kanto,I,Machoke,Fighting,-
102,68,Kanto,I,Machamp,Fighting,-
103,69,Kanto,I,Bellsprout,Grass,Poison
104,70,Kanto,I,Weepinbell,Grass,Poison
105,71,Kanto,I,Victreebel,Grass,Poison
106,72,Kanto,I,Tentacool,Water,Poison
107,73,Kanto,I,Tentacruel,Water,Poison
108,74,Kanto,I,Geodude,Rock,Ground
109,74,Kanto,I,Alolan Geodude,Rock,Electric
110,75,Kanto,I,Graveler,Rock,Ground
111,75,Kanto,I,Alolan Graveler,Rock,Electric
112,76,Kanto,I,Golem,Rock,Ground
113,76,Kanto,I,Alolan Golem,Rock,Electric
114,77,Kanto,I,Ponyta,Fire,-
115,77,Kanto,I,Galarian Ponyta,Psychic,-
116,78,Kanto,I,Rapidash,Fire,-
117,78,Kanto,I,Galarian Rapidash,Psychic,Fairy
118,79,Kanto,I,Slowpoke,Water,Psychic
119,79,Kanto,I,Galarian Slowpoke,Psychic,-
120,80,Kanto,I,Slowbro,Water,Psychic
121,80,Kanto,I,Galarian Slowbro,Poison,Psychic
122,81,Kanto,I,Magnemite,Electric,Steel
123,82,Kanto,I,Magneton,Electric,Steel
124,83,Kanto,I,Farfetch’d,Normal,Flying
125,83,Kanto,I,Galarian Farfetch’d,Fighting,-
126,84,Kanto,I,Doduo,Normal,Flying
129,85,Kanto,I,Dodrio,Normal,Flying
130,86,Kanto,I,Seel,Water,-
131,87,Kanto,I,Dewgong,Water,Ice
132,88,Kanto,I,Grimer,Poison,-
133,88,Kanto,I,Alolan Grimer,Poison,Dark
134,89,Kanto,I,Muk,Poison,-
135,89,Kanto,I,Alolan Muk,Poison,Dark
136,90,Kanto,I,Shellder,Water,-
137,91,Kanto,I,Cloyster,Water,Ice
138,92,Kanto,I,Gastly,Ghost,Poison
139,93,Kanto,I,Haunter,Ghost,Poison
140,94,Kanto,I,Gengar,Ghost,Poison
141,95,Kanto,I,Onix,Rock,Ground
142,96,Kanto,I,Drowzee,Psychic,-
143,97,Kanto,I,Hypno,Psychic,-
145,98,Kanto,I,Krabby,Water,-
146,99,Kanto,I,Kingler,Water,-
147,100,Kanto,I,Voltorb,Electric,-
148,100,Kanto,I,Hisuian Voltorb,Electric,Grass
149,101,Kanto,I,Electrode,Electric,-
150,101,Kanto,I,Hisuian Electrode,Electric,Grass
151,102,Kanto,I,Exeggcute,Grass,Psychic
152,103,Kanto,I,Exeggutor,Grass,Psychic
153,103,Kanto,I,Alolan Exeggutor,Grass,Dragon
154,104,Kanto,I,Cubone,Ground,-
155,105,Kanto,I,Marowak,Ground,-
156,105,Kanto,I,Alolan Marowak,Fire,Ghost
157,106,Kanto,I,Hitmonlee,Fighting,-
158,107,Kanto,I,Hitmonchan,Fighting,-
159,108,Kanto,I,Lickitung,Normal,-
160,109,Kanto,I,Koffing,Poison,-
161,110,Kanto,I,Weezing,Poison,-
162,110,Kanto,I,Galarian Weezing,Poison,Fairy
163,111,Kanto,I,Rhyhorn,Ground,Rock
166,112,Kanto,I,Rhydon,Ground,Rock
167,113,Kanto,I,Chansey,Normal,-
168,114,Kanto,I,Tangela,Grass,-
169,115,Kanto,I,Kangaskhan,Normal,-
170,116,Kanto,I,Horsea,Water,-
171,117,Kanto,I,Seadra,Water,-
172,118,Kanto,I,Goldeen,Water,-
175,119,Kanto,I,Seaking,Water,-
176,120,Kanto,I,Staryu,Water,-
177,121,Kanto,I,Starmie,Water,Psychic
178,122,Kanto,I,Mr. Mime,Psychic,Fairy
179,122,Kanto,I,Galarian Mr. Mime,Ice,Psychic
180,123,Kanto,I,Scyther,Bug,Flying
182,124,Kanto,I,Jynx,Ice,Psychic
183,125,Kanto,I,Electabuzz,Electric,-
184,126,Kanto,I,Magmar,Fire,-
185,127,Kanto,I,Pinsir,Bug,-
186,128,Kanto,I,Tauros,Normal,-
187,128,Kanto,I,Paldean Tauros Combat Breed,Fighting,-
188,128,Kanto,I,Paldean Tauros Blaze Breed,Fighting,Fire
189,128,Kanto,I,Paldean Tauros Aqua Breed,Fighting,Water
190,129,Kanto,I,Magikarp,Water,-
192,130,Kanto,I,Gyarados,Water,Flying
194,131,Kanto,I,Lapras,Water,Ice
195,132,Kanto,I,Ditto,Normal,-
196,133,Kanto,I,Eevee,Normal,-
198,134,Kanto,I,Vaporeon,Water,-
199,135,Kanto,I,Jolteon,Electric,-
200,136,Kanto,I,Flareon,Fire,-
201,137,Kanto,I,Porygon,Normal,-
202,138,Kanto,I,Omanyte,Rock,Water
203,139,Kanto,I,Omastar,Rock,Water
204,140,Kanto,I,Kabuto,Rock,Water
205,141,Kanto,I,Kabutops,Rock,Water
206,142,Kanto,I,Aerodactyl,Rock,Flying
207,143,Kanto,I,Snorlax,Normal,-
208,144,Kanto,I,Articuno,Ice,Flying
209,144,Kanto,I,Galarian Articuno,Psychic,Flying
210,145,Kanto,I,Zapdos,Electric,Flying
211,145,Kanto,I,Galarian Zapdos,Fighting,Flying
212,146,Kanto,I,Moltres,Fire,Flying
213,146,Kanto,I,Galarian Moltres,Dark,Flying
214,147,Kanto,I,Dratini,Dragon,-
215,148,Kanto,I,Dragonair,Dragon,-
216,149,Kanto,I,Dragonite,Dragon,Flying
217,150,Kanto,I,Mewtwo,Psychic,-
218,151,Kanto,I,Mew,Psychic,-
219,152,Johto,II,Chikorita,Grass,-
220,153,Johto,II,Bayleef,Grass,-
221,154,Johto,II,Meganium,Grass,-
223,155,Johto,II,Cyndaquil,Fire,-
224,156,Johto,II,Quilava,Fire,-
225,157,Johto,II,Typhlosion,Fire,-
226,157,Johto,II,Hisuian Typhlosion,Fire,Ghost
227,158,Johto,II,Totodile,Water,-
228,159,Johto,II,Croconaw,Water,-
229,160,Johto,II,Feraligatr,Water,-
230,161,Johto,II,Sentret,Normal,-
231,162,Johto,II,Furret,Normal,-
232,163,Johto,II,Hoothoot,Normal,Flying
233,164,Johto,II,Noctowl,Normal,Flying
234,165,Johto,II,Ledyba,Bug,Flying
237,166,Johto,II,Ledian,Bug,Flying
238,167,Johto,II,Spinarak,Bug,Poison
239,168,Johto,II,Ariados,Bug,Poison
240,169,Johto,II,Crobat,Poison,Flying
241,170,Johto,II,Chinchou,Water,Electric
242,171,Johto,II,Lanturn,Water,Electric
243,172,Johto,II,Pichu,Electric,-
244,173,Johto,II,Cleffa,Fairy,-
245,174,Johto,II,Igglybuff,Normal,Fairy
246,175,Johto,II,Togepi,Fairy,-
247,176,Johto,II,Togetic,Fairy,Flying
248,177,Johto,II,Natu,Psychic,Flying
250,178,Johto,II,Xatu,Psychic,Flying
251,179,Johto,II,Mareep,Electric,-
252,180,Johto,II,Flaaffy,Electric,-
253,181,Johto,II,Ampharos,Electric,-
254,182,Johto,II,Bellossom,Grass,-
255,183,Johto,II,Marill,Water,Fairy
256,184,Johto,II,Azumarill,Water,Fairy
258,185,Johto,II,Sudowoodo,Rock,-
259,186,Johto,II,Politoed,Water,-
261,187,Johto,II,Hoppip,Grass,Flying
262,188,Johto,II,Skiploom,Grass,Flying
263,189,Johto,II,Jumpluff,Grass,Flying
265,190,Johto,II,Aipom,Normal,-
266,191,Johto,II,Sunkern,Grass,-
267,192,Johto,II,Sunflora,Grass,-
268,193,Johto,II,Yanma,Bug,Flying
269,194,Johto,II,Wooper,Water,Ground
270,194,Johto,II,Paldean Wooper,Poison,Ground
272,195,Johto,II,Quagsire,Water,Ground
274,196,Johto,II,Espeon,Psychic,-
275,197,Johto,II,Umbreon,Dark,-
276,198,Johto,II,Murkrow,Dark,Flying
278,199,Johto,II,Slowking,Water,Psychic
279,199,Johto,II,Galarian Slowking,Poison,Psychic
280,200,Johto,II,Misdreavus,Ghost,-
281,201,Johto,II,Unown-A,Psychic,-
282,201,Johto,II,Unown-B,Psychic,-
283,201,Johto,II,Unown-C,Psychic,-
284,201,Johto,II,Unown-D,Psychic,-
285,201,Johto,II,Unown-E,Psychic,-
286,201,Johto,II,Unown-F,Psychic,-
287,201,Johto,II,Unown-G,Psychic,-
288,201,Johto,II,Unown-H,Psychic,-
289,201,Johto,II,Unown-I,Psychic,-
290,201,Johto,II,Unown-J,Psychic,-
291,201,Johto,II,Unown-K,Psychic,-
292,201,Johto,II,Unown-L,Psychic,-
293,201,Johto,II,Unown-M,Psychic,-
294,201,Johto,II,Unown-N,Psychic,-
295,201,Johto,II,Unown-O,Psychic,-
296,201,Johto,II,Unown-P,Psychic,-
297,201,Johto,II,Unown-Q,Psychic,-
298,201,Johto,II,Unown-R,Psychic,-
299,201,Johto,II,Unown-S,Psychic,-
300,201,Johto,II,Unown-T,Psychic,-
301,201,Johto,II,Unown-U,Psychic,-
302,201,Johto,II,Unown-V,Psychic,-
303,201,Johto,II,Unown-W,Psychic,-
304,201,Johto,II,Unown-X,Psychic,-
305,201,Johto,II,Unown-Y,Psychic,-
306,201,Johto,II,Unown-Z,Psychic,-
307,201,Johto,II,Unown-Exclamation Mark,Psychic,-
308,201,Johto,II,Unown-Question Mark,Psychic,-
309,202,Johto,II,Wobbuffet,Psychic,-
311,203,Johto,II,Girafarig,Normal,Psychic
313,204,Johto,II,Pineco,Bug,-
314,205,Johto,II,Forretress,Bug,Steel
315,206,Johto,II,Dunsparce,Normal,-
317,207,Johto,II,Gligar,Ground,Flying
318,208,Johto,II,Steelix,Steel,Ground
320,209,Johto,II,Snubbull,Fairy,-
321,210,Johto,II,Granbull,Fairy,-
322,211,Johto,II,Qwilfish,Water,Poison
323,211,Johto,II,Hisuian Qwilfish,Dark,Poison
325,212,Johto,II,Scizor,Bug,Steel
326,213,Johto,II,Shuckle,Bug,Rock
327,214,Johto,II,Heracross,Bug,Fighting
329,215,Johto,II,Sneasel,Dark,Ice
331,215,Johto,II,Hisuian Sneasel,Fighting,Poison
333,216,Johto,II,Teddiursa,Normal,-
334,217,Johto,II,Ursaring,Normal,-
336,218,Johto,II,Slugma,Fire,-
337,219,Johto,II,Magcargo,Fire,Rock
338,220,Johto,II,Swinub,Ice,Ground
339,221,Johto,II,Piloswine,Ice,Ground
341,222,Johto,II,Corsola,Water,Rock
342,222,Johto,II,Galarian Corsola,Ghost,-
343,223,Johto,II,Remoraid,Water,-
344,224,Johto,II,Octillery,Water,-
346,225,Johto,II,Delibird,Ice,Flying
347,226,Johto,II,Mantine,Water,Flying
348,227,Johto,II,Skarmory,Steel,Flying
349,228,Johto,II,Houndour,Dark,Fire
350,229,Johto,II,Houndoom,Dark,Fire
352,230,Johto,II,Kingdra,Water,Dragon
353,231,Johto,II,Phanpy,Ground,-
354,232,Johto,II,Donphan,Ground,-
356,233,Johto,II,Porygon2,Normal,-
357,234,Johto,II,Stantler,Normal,-
358,235,Johto,II,Smeargle,Normal,-
359,236,Johto,II,Tyrogue,Fighting,-
360,237,Johto,II,Hitmontop,Fighting,-
361,238,Johto,II,Smoochum,Ice,Psychic
362,239,Johto,II,Elekid,Electric,-
363,240,Johto,II,Magby,Fire,-
364,241,Johto,II,Miltank,Normal,-
365,242,Johto,II,Blissey,Normal,-
366,243,Johto,II,Raikou,Electric,-
367,244,Johto,II,Entei,Fire,-
368,245,Johto,II,Suicune,Water,-
369,246,Johto,II,Larvitar,Rock,Ground
370,247,Johto,II,Pupitar,Rock,Ground
371,248,Johto,II,Tyranitar,Rock,Ground
372,249,Johto,II,Lugia,Psychic,Flying
373,250,Johto,II,Ho-Oh,Fire,Flying
374,251,Johto,II,Celebi,Psychic,Grass
375,252,Hoenn,III,Treecko,Grass,-
376,253,Hoenn,III,Grovyle,Grass,-
377,254,Hoenn,III,Sceptile,Grass,-
379,255,Hoenn,III,Torchic,Fire,-
380,256,Hoenn,III,Combusken,Fire,Fighting
383,257,Hoenn,III,Blaziken,Fire,Fighting
384,258,Hoenn,III,Mudkip,Water,-
385,259,Hoenn,III,Marshtomp,Water,Ground
386,260,Hoenn,III,Swampert,Water,Ground
387,261,Hoenn,III,Poochyena,Dark,-
388,262,Hoenn,III,Mightyena,Dark,-
389,263,Hoenn,III,Zigzagoon,Normal,-
390,263,Hoenn,III,Galarian Zigzagoon,Dark,Normal
391,264,Hoenn,III,Linoone,Normal,-
392,264,Hoenn,III,Galarian Linoone,Dark,Normal
393,265,Hoenn,III,Wurmple,Bug,-
394,266,Hoenn,III,Silcoon,Bug,-
395,267,Hoenn,III,Beautifly,Bug,Flying
397,268,Hoenn,III,Cascoon,Bug,-
398,269,Hoenn,III,Dustox,Bug,Poison
400,270,Hoenn,III,Lotad,Water,Grass
401,271,Hoenn,III,Lombre,Water,Grass
402,272,Hoenn,III,Ludicolo,Water,Grass
404,273,Hoenn,III,Seedot,Grass,-
405,274,Hoenn,III,Nuzleaf,Grass,Dark
408,275,Hoenn,III,Shiftry,Grass,Dark
409,276,Hoenn,III,Taillow,Normal,Flying
410,277,Hoenn,III,Swellow,Normal,Flying
411,278,Hoenn,III,Wingull,Water,Flying
412,279,Hoenn,III,Pelipper,Water,Flying
413,280,Hoenn,III,Ralts,Psychic,Fairy
414,281,Hoenn,III,Kirlia,Psychic,Fairy
415,282,Hoenn,III,Gardevoir,Psychic,Fairy
416,283,Hoenn,III,Surskit,Bug,Water
417,284,Hoenn,III,Masquerain,Bug,Flying
418,285,Hoenn,III,Shroomish,Grass,-
419,286,Hoenn,III,Breloom,Grass,Fighting
420,287,Hoenn,III,Slakoth,Normal,-
421,288,Hoenn,III,Vigoroth,Normal,-
422,289,Hoenn,III,Slaking,Normal,-
423,290,Hoenn,III,Nincada,Bug,Ground
424,291,Hoenn,III,Ninjask,Bug,Flying
425,292,Hoenn,III,Shedinja,Bug,Ghost
426,293,Hoenn,III,Whismur,Normal,-
427,294,Hoenn,III,Loudred,Normal,-
428,295,Hoenn,III,Exploud,Normal,-
429,296,Hoenn,III,Makuhita,Fighting,-
430,297,Hoenn,III,Hariyama,Fighting,-
431,298,Hoenn,III,Azurill,Normal,Fairy
432,299,Hoenn,III,Nosepass,Rock,-
433,300,Hoenn,III,Skitty,Normal,-
434,301,Hoenn,III,Delcatty,Normal,-
435,302,Hoenn,III,Sableye,Dark,Ghost
436,303,Hoenn,III,Mawile,Steel,Fairy
437,304,Hoenn,III,Aron,Steel,Rock
438,305,Hoenn,III,Lairon,Steel,Rock
439,306,Hoenn,III,Aggron,Steel,Rock
440,307,Hoenn,III,Meditite,Fighting,Psychic
443,308,Hoenn,III,Medicham,Fighting,Psychic
444,309,Hoenn,III,Electrike,Electric,-
445,310,Hoenn,III,Manectric,Electric,-
446,311,Hoenn,III,Plusle,Electric,-
447,312,Hoenn,III,Minun,Electric,-
448,313,Hoenn,III,Volbeat,Bug,-
449,314,Hoenn,III,Illumise,Bug,-
450,315,Hoenn,III,Roselia,Grass,Poison
453,316,Hoenn,III,Gulpin,Poison,-
454,317,Hoenn,III,Swalot,Poison,-
456,318,Hoenn,III,Carvanha,Water,Dark
457,319,Hoenn,III,Sharpedo,Water,Dark
458,320,Hoenn,III,Wailmer,Water,-
459,321,Hoenn,III,Wailord,Water,-
460,322,Hoenn,III,Numel,Fire,Ground
463,323,Hoenn,III,Camerupt,Fire,Ground
464,324,Hoenn,III,Torkoal,Fire,-
465,325,Hoenn,III,Spoink,Psychic,-
466,326,Hoenn,III,Grumpig,Psychic,-
467,327,Hoenn,III,Spinda,Normal,-
468,328,Hoenn,III,Trapinch,Ground,-
469,329,Hoenn,III,Vibrava,Ground,Dragon
470,330,Hoenn,III,Flygon,Ground,Dragon
471,331,Hoenn,III,Cacnea,Grass,-
472,332,Hoenn,III,Cacturne,Grass,Dark
473,332,Hoenn,III,Cacturne,Grass,Dark
474,333,Hoenn,III,Swablu,Normal,Flying
475,334,Hoenn,III,Altaria,Dragon,Flying
476,335,Hoenn,III,Zangoose,Normal,-
477,336,Hoenn,III,Seviper,Poison,-
478,337,Hoenn,III,Lunatone,Rock,Psychic
479,338,Hoenn,III,Solrock,Rock,Psychic
480,339,Hoenn,III,Barboach,Water,Ground
481,340,Hoenn,III,Whiscash,Water,Ground
482,341,Hoenn,III,Corphish,Water,-
483,342,Hoenn,III,Crawdaunt,Water,Dark
484,343,Hoenn,III,Baltoy,Ground,Psychic
485,344,Hoenn,III,Claydol,Ground,Psychic
486,345,Hoenn,III,Lileep,Rock,Grass
487,346,Hoenn,III,Cradily,Rock,Grass
488,347,Hoenn,III,Anorith,Rock,Bug
489,348,Hoenn,III,Armaldo,Rock,Bug
490,349,Hoenn,III,Feebas,Water,-
491,350,Hoenn,III,Milotic,Water,-
493,351,Hoenn,III,Castform,Normal,-
494,352,Hoenn,III,Kecleon,Normal,-
495,353,Hoenn,III,Shuppet,Ghost,-
496,354,Hoenn,III,Banette,Ghost,-
497,355,Hoenn,III,Duskull,Ghost,-
498,356,Hoenn,III,Dusclops,Ghost,-
499,357,Hoenn,III,Tropius,Grass,Flying
500,358,Hoenn,III,Chimecho,Psychic,-
501,359,Hoenn,III,Absol,Dark,-
502,360,Hoenn,III,Wynaut,Psychic,-
503,361,Hoenn,III,Snorunt,Ice,-
504,362,Hoenn,III,Glalie,Ice,-
505,363,Hoenn,III,Spheal,Ice,Water
506,364,Hoenn,III,Sealeo,Ice,Water
507,365,Hoenn,III,Walrein,Ice,Water
508,366,Hoenn,III,Clamperl,Water,-
509,367,Hoenn,III,Huntail,Water,-
510,368,Hoenn,III,Gorebyss,Water,-
511,369,Hoenn,III,Relicanth,Water,Rock
513,370,Hoenn,III,Luvdisc,Water,-
514,371,Hoenn,III,Bagon,Dragon,-
515,372,Hoenn,III,Shelgon,Dragon,-
516,373,Hoenn,III,Salamence,Dragon,Flying
517,374,Hoenn,III,Beldum,Steel,Psychic
518,375,Hoenn,III,Metang,Steel,Psychic
519,376,Hoenn,III,Metagross,Steel,Psychic
520,377,Hoenn,III,Regirock,Rock,-
521,378,Hoenn,III,Regice,Ice,-
522,379,Hoenn,III,Registeel,Steel,-
523,380,Hoenn,III,Latias,Dragon,Psychic
524,381,Hoenn,III,Latios,Dragon,Psychic
525,382,Hoenn,III,Kyogre,Water,-
526,383,Hoenn,III,Groudon,Ground,-
527,384,Hoenn,III,Rayquaza,Dragon,Flying
528,385,Hoenn,III,Jirachi,Steel,Psychic
529,386,Hoenn,III,Deoxys,Psychic,-
533,387,Sinnoh,IV,Turtwig,Grass,-
534,388,Sinnoh,IV,Grotle,Grass,-
535,389,Sinnoh,IV,Torterra,Grass,Ground
536,390,Sinnoh,IV,Chimchar,Fire,-
537,391,Sinnoh,IV,Monferno,Fire,Fighting
538,392,Sinnoh,IV,Infernape,Fire,Fighting
539,393,Sinnoh,IV,Piplup,Water,-
540,394,Sinnoh,IV,Prinplup,Water,-
541,395,Sinnoh,IV,Empoleon,Water,Steel
543,396,Sinnoh,IV,Starly,Normal,Flying
544,397,Sinnoh,IV,Staravia,Normal,Flying
547,398,Sinnoh,IV,Staraptor,Normal,Flying
548,399,Sinnoh,IV,Bidoof,Normal,-
551,400,Sinnoh,IV,Bibarel,Normal,Water
552,401,Sinnoh,IV,Kricketot,Bug,-
555,402,Sinnoh,IV,Kricketune,Bug,-
556,403,Sinnoh,IV,Shinx,Electric,-
559,404,Sinnoh,IV,Luxio,Electric,-
560,405,Sinnoh,IV,Luxray,Electric,-
562,406,Sinnoh,IV,Budew,Grass,Poison
563,407,Sinnoh,IV,Roserade,Grass,Poison
565,408,Sinnoh,IV,Cranidos,Rock,-
566,409,Sinnoh,IV,Rampardos,Rock,-
567,410,Sinnoh,IV,Shieldon,Rock,Steel
568,411,Sinnoh,IV,Bastiodon,Rock,Steel
569,412,Sinnoh,IV,Burmy Plant Cloak,Bug,-
570,412,Sinnoh,IV,Burmy Sandy Cloak,Bug,-
571,412,Sinnoh,IV,Burmy Trash Cloak,Bug,-
572,413,Sinnoh,IV,Wormadam Plant Cloak,Bug,Grass
573,413,Sinnoh,IV,Wormadam Sandy Cloak,Bug,Ground
574,413,Sinnoh,IV,Wormadam Trash Cloak,Bug,Steel
575,414,Sinnoh,IV,Mothim,Bug,Flying
576,415,Sinnoh,IV,Combee,Bug,Flying
578,416,Sinnoh,IV,Vespiquen,Bug,Flying
579,417,Sinnoh,IV,Pachirisu,Electric,-
581,418,Sinnoh,IV,Buizel,Water,-
584,419,Sinnoh,IV,Floatzel,Water,-
585,420,Sinnoh,IV,Cherubi,Grass,-
586,421,Sinnoh,IV,Cherrim,Grass,-
587,422,Sinnoh,IV,Shellos,Water,-
588,422,Sinnoh,IV,Shellos,Water,-
589,423,Sinnoh,IV,Gastrodon,Water,Ground
590,423,Sinnoh,IV,Gastrodon,Water,Ground
592,424,Sinnoh,IV,Ambipom,Normal,-
593,425,Sinnoh,IV,Drifloon,Ghost,Flying
594,426,Sinnoh,IV,Drifblim,Ghost,Flying
595,427,Sinnoh,IV,Buneary,Normal,-
596,428,Sinnoh,IV,Lopunny,Normal,-
597,429,Sinnoh,IV,Mismagius,Ghost,-
598,430,Sinnoh,IV,Honchkrow,Dark,Flying
599,431,Sinnoh,IV,Glameow,Normal,-
600,432,Sinnoh,IV,Purugly,Normal,-
601,433,Sinnoh,IV,Chingling,Psychic,-
602,434,Sinnoh,IV,Stunky,Poison,Dark
603,435,Sinnoh,IV,Skuntank,Poison,Dark
604,436,Sinnoh,IV,Bronzor,Steel,Psychic
605,437,Sinnoh,IV,Bronzong,Steel,Psychic
606,438,Sinnoh,IV,Bonsly,Rock,-
607,439,Sinnoh,IV,Mime Jr.,Psychic,Fairy
608,440,Sinnoh,IV,Happiny,Normal,-
609,441,Sinnoh,IV,Chatot,Normal,Flying
610,442,Sinnoh,IV,Spiritomb,Ghost,Dark
611,443,Sinnoh,IV,Gible,Dragon,Ground
614,444,Sinnoh,IV,Gabite,Dragon,Ground
616,445,Sinnoh,IV,Garchomp,Dragon,Ground
617,446,Sinnoh,IV,Munchlax,Normal,-
618,447,Sinnoh,IV,Riolu,Fighting,-
619,448,Sinnoh,IV,Lucario,Fighting,Steel
620,449,Sinnoh,IV,Hippopotas,Ground,-
623,450,Sinnoh,IV,Hippowdon,Ground,-
624,451,Sinnoh,IV,Skorupi,Poison,Bug
625,452,Sinnoh,IV,Drapion,Poison,Dark
626,453,Sinnoh,IV,Croagunk,Poison,Fighting
629,454,Sinnoh,IV,Toxicroak,Poison,Fighting
630,455,Sinnoh,IV,Carnivine,Grass,-
631,456,Sinnoh,IV,Fineon,Water,-
634,457,Sinnoh,IV,Lumineon,Water,-
635,458,Sinnoh,IV,Mantyke,Water,Flying
637,459,Sinnoh,IV,Snover,Grass,Ice
639,460,Sinnoh,IV,Abomasnow,Grass,Ice
641,461,Sinnoh,IV,Weavile,Dark,Ice
642,462,Sinnoh,IV,Magnezone,Electric,Steel
643,463,Sinnoh,IV,Lickilicky,Normal,-
644,464,Sinnoh,IV,Rhyperior,Ground,Rock
646,465,Sinnoh,IV,Tangrowth,Grass,-
648,466,Sinnoh,IV,Electivire,Electric,-
649,467,Sinnoh,IV,Magmortar,Fire,-
650,468,Sinnoh,IV,Togekiss,Fairy,Flying
651,469,Sinnoh,IV,Yanmega,Bug,Flying
652,470,Sinnoh,IV,Leafeon,Grass,-
653,471,Sinnoh,IV,Glaceon,Ice,-
654,472,Sinnoh,IV,Gliscor,Ground,Flying
655,473,Sinnoh,IV,Mamoswine,Ice,Ground
657,474,Sinnoh,IV,Porygon-Z,Normal,-
658,475,Sinnoh,IV,Gallade,Psychic,Fighting
659,476,Sinnoh,IV,Probopass,Rock,Steel
660,477,Sinnoh,IV,Dusknoir,Ghost,-
661,478,Sinnoh,IV,Froslass,Ice,Ghost
662,479,Sinnoh,IV,Rotom,Electric,Ghost
663,479,Sinnoh,IV,Heat Rotom,Electric,Fire
664,479,Sinnoh,IV,Wash Rotom,Electric,Water
665,479,Sinnoh,IV,Frost Rotom,Electric,Ice
666,479,Sinnoh,IV,Fan Rotom,Electric,Flying
667,479,Sinnoh,IV,Mow Rotom,Electric,Grass
