POKÈMON,#DEX,SPRITE,ENCOUNTERS,,,,,,,,,,,,,,,
Drowzee,#096,,,,,,,,,,,,,,,,,
Hypno,#097,,,,,,,,,,,,,,,,,
Krabby,#098,,,,,,,,,,,,,,,,,
Kingler,#099,,,,,,,,,,,,,,,,,
Voltorb,#100,#NAME?,27,,,,,,,,,,,,,,,
Electrode,#101,,,,,,,,,,,,,,,,,
Exeggcute,#102,#NAME?,-,,,,,,,,,,,,,,,
Exeggutor,#103,,,,,,,,,,,,,,,,,
Cubone,#104,,,,,,,,,,,,,,,,,
Marowak (Alolan),#105,#NAME?,-,,,,,,,,,,,,,,,
Hitmonlee,#106,,,,,,,,,,,,,,,,,
Hitmonchan,#107,,,,,,,,,,,,,,,,,
Lickitung,#108,,,,,,,,,,,,,,,,,
Koffing,#109,#NAME?,-,,,,,,,,,,,,,,,
Weezing,#110,,,,,,,,,,,,,,,,,
Rhyhorn,#111,,,,,,,,,,,,,,,,,
Rhydon,#112,,,,,,,,,,,,,,,,,
Chansey,#113,,,,,,,,,,,,,,,,,
Tangela,#114,#NAME?,-,,,,,,,,,,,,,,,
Kangaskhan,#115,,,,,,,,,,,,,,,,,
Horsea,#116,,,,,,,,,,,,,,,,,
Seadra,#117,,,,,,,,,,,,,,,,,
Goldeen,#118,,,,,,,,,,,,,,,,,
Seaking,#119,,,,,,,,,,,,,,,,,
Staryu,#120,,,,,,,,,,,,,,,,,
Starmie,#121,#NAME?,-,,,,,,,,,,,,,,,
Mr. Mime,#122,,,,,,,,,,,,,,,,,
Scyther,#123,,,,,,,,,,,,,,,,,
Jynx,#124,,,,,,,,,,,,,,,,,
Electabuzz,#125,#NAME?,-,,,,,,,,,,,,,,,
Magmar,#126,#NAME?,-,,,,,,,,,,,,,,,
Pinsir,#127,,,,,,,,,,,,,,,,,
Tauros,#128,#NAME?,5,,,,,,,,,,,,,,,
Magikarp,#129,#NAME?,-,,,,,,,,,,,,,,,
Gyarados,#130,#NAME?,1.00,,,,,,,,,,,,,,,
Lapras,#131,,,,,,,,,,,,,,,,,
Ditto,#132,,,,,,,,,,,,,,,,,
Eevee,#133,#NAME?,-,,,,,,,,,,,,,,,
Vaporeon,#134,,,,,,,,,,,,,,,,,
Jolteon,#135,,,,,,,,,,,,,,,,,
Flareon,#136,,,,,,,,,,,,,,,,,
Porygon,#137,#NAME?,-,,,,,,,,,,,,,,,
Omanyte,#138,,,,,,,,,,,,,,,,,
Omastar,#139,,,,,,,,,,,,,,,,,
Kabuto,#140,,,,,,,,,,,,,,,,,
Kabutops,#141,,,,,,,,,,,,,,,,,
Aerodactyl,#142,,,,,,,,,,,,,,,,,
Snorlax,#143,,,,,,,,,,,,,,,,,
Articuno,#144,#NAME?,5,,,,,,,,,,,,,,,
Zapdos,#145,,,,,,,,,,,,,,,,,
Moltres,#146,,,,,,,,,,,,,,,,,
Dratini,#147,,,,,,,,,,,,,,,,,
Dragonair,#148,,,,,,,,,,,,,,,,,
Dragonite,#149,,,,,,,,,,,,,,,,,
Mewtwo,#150,,,,,,,,,,,,,,,,,
Mew,#151,,,,,,,,,,,,,,,,,
Chikorita,#152,#NAME?,3206,,,,,,,,,,,,,,,
Bayleef,#153,,,,,,,,,,,,,,,,,
Meganium,#154,#NAME?,4186,,,,,,,,,,,,,,,
Cyndaquil,#155,#NAME?,788,,,,,,,,,,,,,,,
Quilava,#156,#NAME?,-,,,,,,,,,,,,,,,
Typhlosion,#157,#NAME?,1367,,,,,,,,,,,,,,,
Totodile,#158,#NAME?,-,,,,,,,,,,,,,,,
Croconaw,#159,,,,,,,,,,,,,,,,,
Feraligatr,#160,#NAME?,,needs nickname,,,,,,,,,,,,,,
Sentret,#161,#NAME?,-,,,,,,,,,,,,,,,
Furret,#162,,,,,,,,,,,,,,,,,
Hoothoot,#163,#NAME?,202,,,,,,,,,,,,,,,
Noctowl,#164,,,,,,,,,,,,,,,,,
Ledyba,#165,,,,,,,,,,,,,,,,,
Ledian,#166,,,,,,,,,,,,,,,,,
Spinarak,#167,,,,,,,,,,,,,,,,,
Ariados,#168,,,,,,,,,,,,,,,,,
Crobat,#169,,,,,,,,,,,,,,,,,
Chinchou,#170,,,,,,,,,,,,,,,,,
Lanturn,#171,,,,,,,,,,,,,,,,,
Pichu,#172,,,,,,,,,,,,,,,,,
Cleffa,#173,,,,,,,,,,,,,,,,,
Igglybuff,#174,,,,,,,,,,,,,,,,,
Togepi,#175,#NAME?,-,,,,,,,,,,,,,,,
Togetic,#176,,,,,,,,,,,,,,,,,
Natu,#177,,,,,,,,,,,,,,,,,
Xatu,#178,,,,,,,,,,,,,,,,,
Mareep,#179,,,,,,,,,,,,,,,,,
Flaaffy,#180,,,,,,,,,,,,,,,,,
Ampharos,#181,#NAME?,-,,,,,,,,,,,,,,,
Bellossom,#182,#NAME?,-,,,,,,,,,,,,,,,
Marill,#183,#NAME?,-,,,,,,,,,,,,,,,
Azumarill,#184,,,,,,,,,,,,,,,,,
Sudowoodo,#185,#NAME?,-,,,,,,,,,,,,,,,
Politoed,#186,,,,,,,,,,,,,,,,,
Hoppip,#187,,,,,,,,,,,,,,,,,
Skiploom,#188,,,,,,,,,,,,,,,,,
Jumpluff,#189,,,,,,,,,,,,,,,,,
Aipom,#190,,,,,,,,,,,,,,,,,
Sunkern,#191,,,,,,,,,,,,,,,,,
Sunflora,#192,#NAME?,-,,,,,,,,,,,,,,,
Yanma,#193,#NAME?,-,,,,,,,,,,,,,,,
Wooper,#194,#NAME?,-,,,,,,,,,,,,,,,
Quagsire,#195,,,,,,,,,,,,,,,,,
Espeon,#196,,,,,,,,,,,,,,,,,
Umbreon,#197,,,,,,,,,,,,,,,,,
Murkrow,#198,,,,,,,,,,,,,,,,,
Slowking,#199,,,,,,,,,,,,,,,,,
Misdreavus,#200,,,,,,,,,,,,,,,,,
Unown,#201,#NAME?,-,,,,,,,,,,,,,,,
Wobbuffet,#202,#NAME?,11,,,,,,,,,,,,,,,
Girafarig,#203,,,,,,,,,,,,,,,,,
Pineco,#204,,,,,,,,,,,,,,,,,
Forretress,#205,,,,,,,,,,,,,,,,,
Dunsparce,#206,,,,,,,,,,,,,,,,,
Gligar,#207,#NAME?,-,,,,,,,,,,,,,,,
Steelix,#208,,,,,,,,,,,,,,,,,
Snubbull,#209,,,,,,,,,,,,,,,,,
Granbull,#210,,,,,,,,,,,,,,,,,
Qwilfish,#211,#NAME?,-,,,,,,,,,,,,,,,
Scizor,#212,,,,,,,,,,,,,,,,,
Shuckle,#213,,,,,,,,,,,,,,,,,
Heracross,#214,,,,,,,,,,,,,,,,,
Sneasel,#215,#NAME?,-,,,,,,,,,,,,,,,
Sneasel (Hisuin),#215,#NAME?,,,,,,,,,,,,,,,,
Teddiursa,#216,#NAME?,446,,,,,,,,,,,,,,,
Ursaring,#217,,,,,,,,,,,,,,,,,
Slugma,#218,,,,,,,,,,,,,,,,,
Magcargo,#219,,,,,,,,,,,,,,,,,
Swinub,#220,#NAME?,,,,,,,,,,,,,,,,
Piloswine,#221,,,,,,,,,,,,,,,,,
Corsola,#222,,,,,,,,,,,,,,,,,
Remoraid,#223,,,,,,,,,,,,,,,,,
Octillery,#224,,,,,,,,,,,,,,,,,
Delibird,#225,,,,,,,,,,,,,,,,,
Mantine,#226,,,,,,,,,,,,,,,,,
Skarmory,#227,#NAME?,-,,,,,,,,,,,,,,,
Houndour,#228,#NAME?,-,,,,,,,,,,,,,,,
Houndoom,#229,,,,,,,,,,,,,,,,,
Kingdra,#230,,,,,,,,,,,,,,,,,
Phanpy,#231,,,,,,,,,,,,,,,,,
Donphan,#232,,,,,,,,,,,,,,,,,
Porygon2,#233,#NAME?,-,,,,,,,,,,,,,,,
Stantler,#234,,,,,,,,,,,,,,,,,
Smeargle,#235,#NAME?,22,,,,,,,,,,,,,,,
Tyrogue,#236,,,,,,,,,,,,,,,,,
Hitmontop,#237,,,,,,,,,,,,,,,,,
Smoochum,#238,,,,,,,,,,,,,,,,,
Elekid,#239,,,,,,,,,,,,,,,,,
Magby,#240,,,,,,,,,,,,,,,,,
Miltank,#241,,,,,,,,,,,,,,,,,
Blissey,#242,,,,,,,,,,,,,,,,,
Raikou,#243,#NAME?,1032,,,,,,,,,,,,,,,
Entei,#244,,,,,,,,,,,,,,,,,
Suicune,#245,#NAME?,-,,,,,,,,,,,,,,,
Larvitar,#246,#NAME?,-,,,,,,,,,,,,,,,
Pupitar,#247,,,,,,,,,,,,,,,,,
Tyranitar,#248,,,,,,,,,,,,,,,,,
Lugia,#249,#NAME?,121,,,,,,,,,,,,,,,
Ho-Oh,#250,#NAME?,-,,,,,,,,,,,,,,,
Celebi,#251,#NAME?,-,,,,,,,,,,,,,,,
Treecko,#252,,,,,,,,,,,,,,,,,
Grovyle,#253,#NAME?,-,,,,,,,,,,,,,,,
Sceptile,#254,,,,,,,,,,,,,,,,,
Torchic,#255,,,,,,,,,,,,,,,,,
Combusken,#256,,,,,,,,,,,,,,,,,
Blaziken,#257,#NAME?,-,,,,,,,,,,,,,,,
Mudkip,#258,,,,,,,,,,,,,,,,,
Marshtomp,#259,,,,,,,,,,,,,,,,,
Swampert,#260,,,,,,,,,,,,,,,,,
Poochyena,#261,,,,,,,,,,,,,,,,,
Mightyena,#262,,,,,,,,,,,,,,,,,
Zigzagoon,#263,#NAME?,-,,,,,,,,,,,,,,,
Linoone,#264,,,,,,,,,,,,,,,,,
Wurmple,#265,,,,,,,,,,,,,,,,,
Silcoon,#266,,,,,,,,,,,,,,,,,
Beautifly,#267,,,,,,,,,,,,,,,,,
Cascoon,#268,#NAME?,,,,,,,,,,,,,,,,
Dustox,#269,,,,,,,,,,,,,,,,,
Lotad,#270,,,,,,,,,,,,,,,,,
Lombre,#271,,,,,,,,,,,,,,,,,
Ludicolo,#272,,,,,,,,,,,,,,,,,
Seedot,#273,#NAME?,-,,,,,,,,,,,,,,,
Nuzleaf,#274,#NAME?,-,,,,,,,,,,,,,,,
Shiftry,#275,#NAME?,-,,,,,,,,,,,,,,,
Taillow,#276,,,,,,,,,,,,,,,,,
Swellow,#277,,,,,,,,,,,,,,,,,
Wingull,#278,,,,,,,,,,,,,,,,,
Pelipper,#279,#NAME?,-,,,,,,,,,,,,,,,
Ralts,#280,,,,,,,,,,,,,,,,,
Kirlia,#281,,,,,,,,,,,,,,,,,
Gardevoir,#282,,,,,,,,,,,,,,,,,
Surskit,#283,,,,,,,,,,,,,,,,,
Masquerain,#284,,,,,,,,,,,,,,,,,
Shroomish,#285,,,,,,,,,,,,,,,,,
Breloom,#286,,,,,,,,,,,,,,,,,
Slakoth,#287,,,,,,,,,,,,,,,,,
Vigoroth,#288,,,,,,,,,,,,,,,,,
Slaking,#289,,,,,,,,,,,,,,,,,
Nincada,#290,,,,,,,,,,,,,,,,,
Ninjask,#291,,,,,,,,,,,,,,,,,
Shedinja,#292,,,,,,,,,,,,,,,,,
Whismur,#293,,,,,,,,,,,,,,,,,
Loudred,#294,#NAME?,180,,,,,,,,,,,,,,,
Exploud,#295,,,,,,,,,,,,,,,,,
Makuhita,#296,,,,,,,,,,,,,,,,,
Hariyama,#297,,,,,,,,,,,,,,,,,
Azurill,#298,,,,,,,,,,,,,,,,,
Nosepass,#299,,,,,,,,,,,,,,,,,
Skitty,#300,,,,,,,,,,,,,,,,,
Delcatty,#301,,,,,,,,,,,,,,,,,
Sableye,#302,,,,,,,,,,,,,,,,,
Mawile,#303,,,,,,,,,,,,,,,,,
Aron,#304,,,,,,,,,,,,,,,,,
Lairon,#305,,,,,,,,,,,,,,,,,
Aggron,#306,,,,,,,,,,,,,,,,,
Meditite,#307,#NAME?,-,,,,,,,,,,,,,,,
Medicham,#308,,,,,,,,,,,,,,,,,
Electrike,#309,,,,,,,,,,,,,,,,,
Manectric,#310,,,,,,,,,,,,,,,,,
Plusle,#311,,,,,,,,,,,,,,,,,
Minun,#312,,,,,,,,,,,,,,,,,
Volbeat,#313,,,,,,,,,,,,,,,,,
Illumise,#314,,,,,,,,,,,,,,,,,
Roselia,#315,#NAME?,-,,,,,,,,,,,,,,,
Gulpin,#316,#NAME?,"1,300.00",,,,,,,,,,,,,,,
Swalot,#317,,,,,,,,,,,,,,,,,
Carvanha,#318,,,,,,,,,,,,,,,,,
Sharpedo,#319,#NAME?,-,,,,,,,,,,,,,,,
Wailmer,#320,,,,,,,,,,,,,,,,,
Wailord,#321,,,,,,,,,,,,,,,,,
Numel,#322,,,,,,,,,,,,,,,,,
Camerupt,#323,,,,,,,,,,,,,,,,,
Torkoal,#324,,,,,,,,,,,,,,,,,
Spoink,#325,,,,,,,,,,,,,,,,,
Grumpig,#326,,,,,,,,,,,,,,,,,
Spinda,#327,#NAME?,825,,,,,,,,,,,,,,,
Trapinch,#328,,,,,,,,,,,,,,,,,
Vibrava,#329,,,,,,,,,,,,,,,,,
Flygon,#330,#NAME?,-,,,,,,,,,,,,,,,
Cacnea,#331,,,,,,,,,,,,,,,,,
Cacturne,#332,,,,,,,,,,,,,,,,,
Swablu,#333,,,,,,,,,,,,,,,,,
Altaria,#334,#NAME?,-,,,,,,,,,,,,,,,
Zangoose,#335,,,,,,,,,,,,,,,,,
Seviper,#336,,,,,,,,,,,,,,,,,
Lunatone,#337,,,,,,,,,,,,,,,,,
Solrock,#338,,,,,,,,,,,,,,,,,
Barboach,#339,,,,,,,,,,,,,,,,,
Whiscash,#340,#NAME?,-,,,,,,,,,,,,,,,
Corphish,#341,,,,,,,,,,,,,,,,,
Crawdaunt,#342,,,,,,,,,,,,,,,,,
Baltoy,#343,,,,,,,,,,,,,,,,,
Claydol,#344,,,,,,,,,,,,,,,,,
Lileep,#345,,,,,,,,,,,,,,,,,
Cradily,#346,,,,,,,,,,,,,,,,,
Anorith,#347,,,,,,,,,,,,,,,,,
Armaldo,#348,,,,,,,,,,,,,,,,,
Feebas,#349,,,,,,,,,,,,,,,,,
Milotic,#350,#NAME?,-,,,,,,,,,,,,,,,
Castform,#351,,,,,,,,,,,,,,,,,
Kecleon,#352,,,,,,,,,,,,,,,,,
Shuppet,#353,,,,,,,,,,,,,,,,,
Banette,#354,,,,,,,,,,,,,,,,,
Duskull,#355,#NAME?,-,,,,,,,,,,,,,,,
Dusclops,#356,#NAME?,-,,,,,,,,,,,,,,,
Tropius,#357,,,,,,,,,,,,,,,,,
Chimecho,#358,,,,,,,,,,,,,,,,,
Absol,#359,,,,,,,,,,,,,,,,,
Wynaut,#360,,,,,,,,,,,,,,,,,
Snorunt,#361,,,,,,,,,,,,,,,,,
Glalie,#362,,,,,,,,,,,,,,,,,
Spheal,#363,#NAME?,71,,,,,,,,,,,,,,,
Sealeo,#364,,,,,,,,,,,,,,,,,
Walrein,#365,,,,,,,,,,,,,,,,,
Clamperl,#366,#NAME?,-,no nickname,,,,,,,,,,,,,,
Huntail,#367,,,,,,,,,,,,,,,,,
Gorebyss,#368,,,,,,,,,,,,,,,,,
Relicanth,#369,,,,,,,,,,,,,,,,,
Luvdisc,#370,#NAME?,-,,,,,,,,,,,,,,,
Bagon,#371,,,,,,,,,,,,,,,,,
Shelgon,#372,,,,,,,,,,,,,,,,,
Salamence,#373,,,,,,,,,,,,,,,,,
Beldum,#374,,,,,,,,,,,,,,,,,
Metang,#375,,,,,,,,,,,,,,,,,
Metagross,#376,#NAME?,-,,,,,,,,,,,,,,,
Regirock,#377,,,,,,,,,,,,,,,,,
Regice,#378,,,,,,,,,,,,,,,,,
Registeel,#379,,,,,,,,,,,,,,,,,
Latias,#380,,,,,,,,,,,,,,,,,
Latios,#381,,,,,,,,,,,,,,,,,
Kyogre,#382,,,,,,,,,,,,,,,,,
Groudon,#383,,,,,,,,,,,,,,,,,
Rayquaza,#384,#NAME?,-,,,,,,,,,,,,,,,
Jirachi,#385,,,,,,,,,,,,,,,,,
Deoxys,#386,,,,,,,,,,,,,,,,,
Turtwig,#387,#NAME?,-,,,,,,,,,,,,,,,
Grotle,#388,,,,,,,,,,,,,,,,,
Torterra,#389,,,,,,,,,,,,,,,,,
Chimchar,#390,#NAME?,-,,,,,,,,,,,,,,,
Monferno,#391,,,,,,,,,,,,,,,,,
Infernape,#392,,,,,,,,,,,,,,,,,
Piplup,#393,#NAME?,-,,,,,,,,,,,,,,,
Prinplup,#394,,,,,,,,,,,,,,,,,
Empoleon,#395,,,,,,,,,,,,,,,,,
Starly,#396,,,,,,,,,,,,,,,,,
Staravia,#397,,,,,,,,,,,,,,,,,
Staraptor,#398,#NAME?,17,,,,,,,,,,,,,,,
Bidoof,#399,,,,,,,,,,,,,,,,,
Bibarel,#400,#NAME?,1,,,,,,,,,,,,,,,
Kricketot,#401,,,,,,,,,,,,,,,,,
Kricketune,#402,,,,,,,,,,,,,,,,,
Shinx,#403,#NAME?,,,,,,,,,,,,,,,,
Luxio,#404,#NAME?,,,,,,,,,,,,,,,,
Luxray,#405,#NAME?,,,,,,,,,,,,,,,,
Budew,#406,#NAME?,,,,,,,,,,,,,,,,
Roserade,#407,#NAME?,-,,,,,,,,,,,,,,,
Cranidos,#408,,,,,,,,,,,,,,,,,
Rampardos,#409,,,,,,,,,,,,,,,,,
Shieldon,#410,,,,,,,,,,,,,,,,,
Bastiodon,#411,,,,,,,,,,,,,,,,,
Burmy,#412,,,,,,,,,,,,,,,,,
Wormadam,#413,,,,,,,,,,,,,,,,,
Mothim,#414,,,,,,,,,,,,,,,,,
Combee,#415,,,,,,,,,,,,,,,,,
Vespiquen,#416,,,,,,,,,,,,,,,,,
Pachirisu,#417,,,,,,,,,,,,,,,,,
Buizel,#418,,,,,,,,,,,,,,,,,
Floatzel,#419,,,,,,,,,,,,,,,,,
Cherubi,#420,,,,,,,,,,,,,,,,,
Cherrim,#421,,,,,,,,,,,,,,,,,
Shellos,#422,,,,,,,,,,,,,,,,,
Gastrodon,#423,,,,,,,,,,,,,,,,,
Ambipom,#424,,,,,,,,,,,,,,,,,
Drifloon,#425,#NAME?,,,,,,,,,,,,,,,,
Drifblim,#426,,,,,,,,,,,,,,,,,
Buneary,#427,#NAME?,-,,,,,,,,,,,,,,,
Lopunny,#428,#NAME?,-,,,,,,,,,,,,,,,
Mismagius,#429,,,,,,,,,,,,,,,,,
Honchkrow,#430,,,,,,,,,,,,,,,,,
Glameow,#431,,,,,,,,,,,,,,,,,
Purugly,#432,,,,,,,,,,,,,,,,,
Chingling,#433,,,,,,,,,,,,,,,,,
Stunky,#434,,,,,,,,,,,,,,,,,
Skuntank,#435,,,https://cdn2.bulbagarden.net/upload/f/f2/Bag_Beast_Ball_Sprite.png,,,,,,,,,,,,,,
Bronzor,#436,#NAME?,-,,,,,,,,,,,,,,,
Bronzong,#437,,,,,,,,,,,,,,,,,
Bonsly,#438,,,,,,,,,,,,,,,,,
Mime Jr.,#439,,,,,,,,,,,,,,,,,
Happiny,#440,,,,,,,,,,,,,,,,,
Chatot,#441,,,,,,,,,,,,,,,,,
Spiritomb,#442,,,,,,,,,,,,,,,,,
Gible,#443,#NAME?,-,,,,,,,,,,,,,,,
Gabite,#444,#NAME?,,,,,,,,,,,,,,,,
Garchomp,#445,#NAME?,,,,,,,,,,,,,,,,
Munchlax,#446,,,,,,,,,,,,,,,,,
Riolu,#447,,,,,,,,,,,,,,,,,
Lucario,#448,#NAME?,73,,,,,,,,,,,,,,,
Hippopotas,#449,,,,,,,,,,,,,,,,,
Hippowdon,#450,,,,,,,,,,,,,,,,,
Skorupi,#451,,,,,,,,,,,,,,,,,
Drapion,#452,#NAME?,-,,,,,,,,,,,,,,,
Croagunk,#453,,,,,,,,,,,,,,,,,
Toxicroak,#454,,,,,,,,,,,,,,,,,
Carnivine,#455,#NAME?,,,,,,,,,,,,,,,,
Finneon,#456,,,,,,,,,,,,,,,,,
Lumineon,#457,,,,,,,,,,,,,,,,,
Mantyke,#458,,,,,,,,,,,,,,,,,
Snover,#459,,,,,,,,,,,,,,,,,
Abomasnow,#460,,,,,,,,,,,,,,,,,
Weavile,#461,,,,,,,,,,,,,,,,,
Magnezone,#462,,,,,,,,,,,,,,,,,
Lickilicky,#463,,,,,,,,,,,,,,,,,
Rhyperior,#464,#NAME?,-,,,,,,,,,,,,,,,
Tangrowth,#465,,,,,,,,,,,,,,,,,
Electivire,#466,#NAME?,-,,,,,,,,,,,,,,,
Magmortar,#467,#NAME?,-,,,,,,,,,,,,,,,
Togekiss,#468,,,,,,,,,,,,,,,,,
Yanmega,#469,,,,,,,,,,,,,,,,,
Leafeon,#470,,,,,,,,,,,,,,,,,
Glaceon,#471,,,,,,,,,,,,,,,,,
Gliscor,#472,,,,,,,,,,,,,,,,,
Mamoswine,#473,,,,,,,,,,,,,,,,,
Porygon-Z,#474,#NAME?,-,,,,,,,,,,,,,,,
Gallade,#475,,,,,,,,,,,,,,,,,
Probopass,#476,,,,,,,,,,,,,,,,,
Dusknoir,#477,#NAME?,-,,,,,,,,,,,,,,,
Froslass,#478,,,,,,,,,,,,,,,,,
Rotom,#479,,,,,,,,,,,,,,,,,
Uxie,#480,,,,,,,,,,,,,,,,,
Mesprit,#481,,,,,,,,,,,,,,,,,
Azelf,#482,,,,,,,,,,,,,,,,,
Dialga,#483,#NAME?,-,,,,,,,,,,,,,,,
Palkia,#484,#NAME?,-,,,,,,,,,,,,,,,
Heatran,#485,,,,,,,,,,,,,,,,,
Regigigas,#486,,,,,,,,,,,,,,,,,
Giratina,#487,#NAME?,-,,,,,,,,,,,,,,,
Cresselia,#488,,,,,,,,,,,,,,,,,
Phione,#489,,,,,,,,,,,,,,,,,
Manaphy,#490,,,,,,,,,,,,,,,,,
Darkrai,#491,,,,,,,,,,,,,,,,,
Shaymin,#492,,,,,,,,,,,,,,,,,
Arceus,#493,,,,,,,,,,,,,,,,,
Victini,#494,,,,,,,,,,,,,,,,,
Snivy,#495,#NAME?,-,,,,,,,,,,,,,,,
Servine,#496,#NAME?,-,,,,,,,,,,,,,,,
Serperior,#497,#NAME?,-,,,,,,,,,,,,,,,
Tepig,#498,,,,,,,,,,,,,,,,,
Pignite,#499,,,,,,,,,,,,,,,,,
Emboar,#500,,,,,,,,,,,,,,,,,
Oshawott,#501,,,,,,,,,,,,,,,,,
Dewott,#502,,,,,,,,,,,,,,,,,
